City,MSE,MAE
Alberta,6.566420790863393,2.0837714100863294
British Columbia,5.019592220498918,1.3234259999252664
Canada,4.9686154265736615,1.7042363358510544
Manitoba,5.57968016922717,1.5866471324472509
New Brunswick,1.5563784093501292,0.8898298837136878
Newfoundland and Labrador,2.154000076643093,1.1041369185831729
Nova Scotia,2.3553633086041232,1.3175176046953423
Ontario,5.777630609880432,1.7725219851147889
Prince Edward Island,0.9400412098978136,0.8383480573834782
Quebec,18.782683581982656,2.3728337213575856
Saskatchewan,0.831192187790185,0.7973946430029174
